strap,landUnitValue,landUnitType,landClass,landClassDscr,GIS_sqft,GIS_acreage,status_cd
R0000005,7958.0,SF,1112.0,SINGLE FAM.RES.-LAND,7958,0.183,A 
R0000006,8995.0,SF,1112.0,SINGLE FAM.RES.-LAND,8995,0.206,A 
R0000008,6801.0,SF,1112.0,SINGLE FAM.RES.-LAND,6801,0.156,A 
R0000009,6308.0,SF,1112.0,SINGLE FAM.RES.-LAND,6308,0.145,A 
R0000013,29023.0,SF,1112.0,SINGLE FAM.RES.-LAND,29023,0.666,A 
R0000017,6949.0,SF,1112.0,SINGLE FAM.RES.-LAND,6949,0.16,A 
R0000019,3606.0,SF,1112.0,SINGLE FAM.RES.-LAND,3606,0.083,A 
R0000021,6884.0,SF,1112.0,SINGLE FAM.RES.-LAND,6884,0.158,A 
R0000025,8960.0,SF,1112.0,SINGLE FAM.RES.-LAND,8960,0.206,A 
R0000026,12737.0,SF,1112.0,SINGLE FAM.RES.-LAND,12737,0.292,A 
R0000028,22580.0,SF,1112.0,SINGLE FAM.RES.-LAND,22580,0.518,A 
R0000029,6356.0,SF,1112.0,SINGLE FAM.RES.-LAND,6356,0.146,A 
R0000032,7348.0,SF,1112.0,SINGLE FAM.RES.-LAND,7348,0.169,A 
R0000035,7092.0,SF,1112.0,SINGLE FAM.RES.-LAND,7092,0.163,A 
R0000036,12726.0,SF,1112.0,SINGLE FAM.RES.-LAND,12726,0.292,A 
R0000037,4986.0,SF,1112.0,SINGLE FAM.RES.-LAND,4986,0.114,A 
R0000038,4132.0,SF,1112.0,SINGLE FAM.RES.-LAND,4132,0.095,A 
R0000039,15891.0,SF,1112.0,SINGLE FAM.RES.-LAND,15891,0.365,A 
R0000040,6217.0,SF,1112.0,SINGLE FAM.RES.-LAND,6217,0.143,A 
R0000042,6478.0,SF,1112.0,SINGLE FAM.RES.-LAND,6478,0.149,A 
R0000043,7177.0,SF,1112.0,SINGLE FAM.RES.-LAND,7177,0.165,A 
R0000044,6532.0,SF,1112.0,SINGLE FAM.RES.-LAND,6532,0.15,A 
R0000045,6943.0,SF,1112.0,SINGLE FAM.RES.-LAND,6943,0.159,A 
R0000047,6945.0,SF,1112.0,SINGLE FAM.RES.-LAND,6945,0.159,A 
R0000048,3232.0,SF,1112.0,SINGLE FAM.RES.-LAND,3232,0.074,A 
R0000049,3616.0,SF,1112.0,SINGLE FAM.RES.-LAND,3616,0.083,A 
R0000050,9938.0,SF,1112.0,SINGLE FAM.RES.-LAND,9938,0.228,A 
R0000067,8909.0,SF,1112.0,SINGLE FAM.RES.-LAND,8909,0.205,A 
R0000070,10491.0,SF,1112.0,SINGLE FAM.RES.-LAND,10491,0.241,A 
R0000072,4497.0,SF,1112.0,SINGLE FAM.RES.-LAND,4497,0.103,A 
R0000073,6928.0,SF,1112.0,SINGLE FAM.RES.-LAND,6928,0.159,A 
R0000075,16089.0,SF,1112.0,SINGLE FAM.RES.-LAND,16089,0.369,A 
R0000077,10594.0,SF,1112.0,SINGLE FAM.RES.-LAND,10594,0.243,A 
R0000081,9976.0,SF,1112.0,SINGLE FAM.RES.-LAND,9976,0.229,A 
R0000084,10458.0,SF,1112.0,SINGLE FAM.RES.-LAND,10458,0.24,A 
R0000085,8514.0,SF,1112.0,SINGLE FAM.RES.-LAND,8514,0.195,A 
R0000086,5129.0,SF,1112.0,SINGLE FAM.RES.-LAND,5112,0.1174,A 
R0000087,4875.0,SF,1112.0,SINGLE FAM.RES.-LAND,5221,0.1199,A 
R0000092,6366.0,SF,1112.0,SINGLE FAM.RES.-LAND,6366,0.146,A 
R0000094,5547.0,SF,1112.0,SINGLE FAM.RES.-LAND,5547,0.127,A 
R0000095,9371.0,SF,1112.0,SINGLE FAM.RES.-LAND,9371,0.215,A 
R0000097,4558.0,SF,1112.0,SINGLE FAM.RES.-LAND,4558,0.105,A 
R0000098,8202.0,SF,1112.0,SINGLE FAM.RES.-LAND,8202,0.188,A 
R0000100,11053.0,SF,1112.0,SINGLE FAM.RES.-LAND,11053,0.254,A 
R0000102,7384.0,SF,1112.0,SINGLE FAM.RES.-LAND,7384,0.17,A 
R0000103,9076.0,SF,1112.0,SINGLE FAM.RES.-LAND,9076,0.208,A 
R0000104,7198.0,SF,1112.0,SINGLE FAM.RES.-LAND,7198,0.165,A 
R0000109,8112.0,SF,1112.0,SINGLE FAM.RES.-LAND,8112,0.1862,A 
R0000111,6694.0,SF,1112.0,SINGLE FAM.RES.-LAND,6694,0.154,A 
R0000113,7900.0,SF,1112.0,SINGLE FAM.RES.-LAND,7900,0.181,A 
R0000115,7809.0,SF,1112.0,SINGLE FAM.RES.-LAND,7809,0.179,A 
R0000120,17995.0,SF,1112.0,SINGLE FAM.RES.-LAND,17995,0.413,A 
R0000121,3474.0,SF,1112.0,SINGLE FAM.RES.-LAND,3474,0.08,A 
R0000122,26044.0,SF,1112.0,SINGLE FAM.RES.-LAND,26044,0.598,A 
