strap,str_pfx,str_num,str,str_sfx,city,sub_code,sub_dscr,section,township,range,nh,mill_levy
R0000005,,3030.0,DOVER,DR,BOULDER,3459.0,HIGHLAND PARK 5 - BO,5.0,1S,70.0,160.0,87.045
R0000006,,1310.0,HAWTHORN,AVE,BOULDER,6255.0,PARSONS PARK - BO,19.0,1N,70.0,115.0,87.045
R0000008,,2002.0,COLUMBINE,AVE,BOULDER,3822.0,INTERURBAN PARK - BO,6.0,1S,70.0,102.0,87.045
R0000009,,3100.0,6TH,ST,BOULDER,5709.0,NEWLANDS - BO,24.0,1N,71.0,170.0,87.045
R0000013,,3640.0,19TH,ST,BOULDER,1227.0,CAROLYN HEIGHTS - BO,19.0,1N,70.0,120.0,87.045
R0000017,,1875.0,DEL ROSA,CT,BOULDER,1989.0,DEL ROSA - BO,19.0,1N,70.0,120.0,87.045
R0000019,,2434.0,BLUFF,ST,BOULDER,850.0,BOURGOGNE-PINOT SUB - BO,30.0,1N,70.0,109.0,87.045
R0000021,,1219.0,6TH,ST,BOULDER,8424.0,VERMONT - BO,36.0,1N,71.0,105.0,87.045
R0000025,,3340.0,13TH,ST,BOULDER,2617.0,FOOTHILLS PARK - BO,19.0,1N,70.0,115.0,87.045
R0000026,,907.0,12TH,ST,BOULDER,8343.0,UNIVERSITY PLACE - BO,31.0,1N,70.0,102.0,87.045
R0000028,,601.0,BASELINE,RD,BOULDER,1469.0,CHAUTAUQUA HEIGHTS - BO,36.0,1N,71.0,103.0,87.045
R0000029,,3150.0,6TH,ST,BOULDER,5709.0,NEWLANDS - BO,24.0,1N,71.0,170.0,87.045
R0000032,,2437.0,20TH,ST,BOULDER,8827.0,WIDNERS NORTH - BO,30.0,1N,70.0,109.0,87.045
R0000035,,3540.0,CATALPA,WAY,BOULDER,6582.0,PLEASURE TERRACE - BO,19.0,1N,70.0,120.0,87.045
R0000036,,1718.0,BLUFF,ST,BOULDER,7981.0,SUNSET HILL - BO,30.0,1N,70.0,109.0,87.045
R0000037,,2002.0,GROVE,ST,BOULDER,1913.0,CULVER - BO,30.0,1N,70.0,101.0,87.045
R0000038,,2237.0,PINE,ST,BOULDER,846.0,BOULDER O T EAST & WEST & NORTH - BO,30.0,1N,70.0,109.0,87.045
R0000039,,2350.0,KENWOOD,DR,BOULDER,3463.0,HIGHLAND PARK 6 - BO,5.0,1S,70.0,162.0,87.045
R0000040,,330.0,30TH,ST,BOULDER,3441.0,HIGHLAND PARK 1 - BO,5.0,1S,70.0,166.0,87.045
R0000042,,3159.0,6TH,ST,BOULDER,5709.0,NEWLANDS - BO,24.0,1N,71.0,170.0,87.045
R0000043,,3535.0,19TH,ST,BOULDER,6582.0,PLEASURE TERRACE - BO,19.0,1N,70.0,120.0,87.045
R0000044,,3015.0,18TH,ST,BOULDER,7335.0,SILVER MAPLE VILLAGE 2 - BO,19.0,1N,70.0,115.0,87.045
R0000045,S,2889.0,14TH,ST,BOULDER,9029.0,WOLFFS - BO,30.0,1N,70.0,115.0,87.045
R0000047,,2417.0,PINE,ST,BOULDER,846.0,BOULDER O T EAST & WEST & NORTH - BO,30.0,1N,70.0,109.0,87.045
R0000048,,2542.0,PINE,ST,BOULDER,6497.0,PINE STREET MINOR SUB - BO,29.0,1N,70.0,109.0,87.045
R0000049,,2403.0,PINE,ST,BOULDER,846.0,BOULDER O T EAST & WEST & NORTH - BO,30.0,1N,70.0,109.0,87.045
R0000050,,820.0,HAWTHORN,AVE,BOULDER,9901.0,"TR, NBR 101-103,105,107,109,170",24.0,1N,71.0,170.0,87.045
R0000067,,630.0,NORTHSTAR,CT,BOULDER,4422.0,LINDEN PARK 1 - BO,24.0,1N,71.0,174.0,87.045
R0000070,,530.0,NORTHSTAR,CT,BOULDER,4422.0,LINDEN PARK 1 - BO,24.0,1N,71.0,174.0,87.045
R0000072,,685.0,NORTHSTAR,CT,BOULDER,4422.0,LINDEN PARK 1 - BO,24.0,1N,71.0,174.0,87.045
R0000073,,695.0,NORTHSTAR,CT,BOULDER,4422.0,LINDEN PARK 1 - BO,24.0,1N,71.0,174.0,87.045
R0000075,,3763.0,WONDERLAND HILL,AVE,BOULDER,4422.0,LINDEN PARK 1 - BO,24.0,1N,71.0,174.0,87.045
R0000077,,3920.0,ORCHARD,CT,BOULDER,9052.0,WONDERLAND HILL 2 - BO,13.0,1N,71.0,174.0,87.045
R0000081,,3919.0,ORCHARD,CT,BOULDER,9052.0,WONDERLAND HILL 2 - BO,13.0,1N,71.0,174.0,87.045
R0000084,,2200.0,EDGEWOOD,DR,BOULDER,2254.0,EDGEWOOD 2 - BO,30.0,1N,70.0,115.0,87.045
R0000085,,2911.0,20TH,ST,BOULDER,2249.0,EDGEWOOD 1 - BO,30.0,1N,70.0,115.0,87.045
R0000086,,2025.0,18TH,ST,BOULDER,37.0,ALCORN SUB - BO,30.0,1N,70.0,109.0,87.045
R0000087,,1734.0,SPRUCE,ST,BOULDER,37.0,ALCORN SUB - BO,30.0,1N,70.0,109.0,87.045
R0000092,,2969.0,7TH,ST,BOULDER,5709.0,NEWLANDS - BO,25.0,1N,71.0,170.0,87.045
R0000094,,1070.0,9TH,ST,BOULDER,8343.0,UNIVERSITY PLACE - BO,31.0,1N,70.0,102.0,87.045
R0000095,,1795.0,BALSAM,AVE,BOULDER,569.0,BECKERS - BO,30.0,1N,70.0,115.0,87.045
R0000097,,1880.0,23RD,ST,BOULDER,846.0,BOULDER O T EAST & WEST & NORTH - BO,30.0,1N,70.0,101.0,87.045
R0000098,,3241.0,11TH,ST,BOULDER,2827.0,GARDNERS - BO,24.0,1N,71.0,170.0,87.045
R0000100,,2541.0,BLUFF,ST,BOULDER,9901.0,"TR, NBR 101-103,105,107,109,170",30.0,1N,70.0,109.0,87.045
R0000102,,2355.0,PANORAMA,AVE,BOULDER,6049.0,PANORAMA HEIGHTS REPLAT - BO,30.0,1N,70.0,109.0,87.045
R0000103,,2980.0,19TH,ST,BOULDER,2249.0,EDGEWOOD 1 - BO,30.0,1N,70.0,115.0,87.045
R0000104,,1430.0,MOSS ROCK,PL,BOULDER,5453.0,MOSS ROCK RIDGE - BO,19.0,1N,70.0,120.0,87.045
R0000109,,1078.0,ROSE HILL,DR,BOULDER,9901.0,"TR, NBR 101-103,105,107,109,170",36.0,1N,71.0,103.0,87.045
R0000111,,1420.0,DELLWOOD,AVE,BOULDER,9029.0,WOLFFS - BO,30.0,1N,70.0,115.0,87.045
R0000113,,2165.0,FLORAL,DR,BOULDER,3015.0,GREEN MEADOWS - BO,19.0,1N,70.0,115.0,87.045
R0000115,,3105.0,23RD,ST,BOULDER,3015.0,GREEN MEADOWS - BO,19.0,1N,70.0,115.0,87.045
R0000120,,3355.0,4TH,ST,BOULDER,9906.0,"TR, NBR 128,158,172-178 FOOTHILLS",24.0,1N,71.0,170.0,87.045
R0000121,,1317.0,7TH,ST,BOULDER,1053.0,BUENA VISTA HEIGHTS - BO,36.0,1N,71.0,105.0,87.045
R0000122,,550.0,12TH,ST,BOULDER,8635.0,WELLINGTON HEIGHTS - BO,6.0,1S,70.0,103.0,87.045
R0000123,,2239.0,NICHOLL,ST,BOULDER,2254.0,EDGEWOOD 2 - BO,30.0,1N,70.0,115.0,87.045
R0000125,,295.0,BELLEVUE,DR,BOULDER,595.0,BELLEVUE PARK REPLAT - BO,6.0,1S,70.0,103.0,87.045
R0000138,,2045.0,GRAPE,AVE,BOULDER,3392.0,HIGH MEADOWS 1 - BO,19.0,1N,70.0,115.0,87.045
R0000142,,2250.0,BLUEBELL,AVE,BOULDER,5834.0,OAK PARK & SOUTH OAK PARK - BO,6.0,1S,70.0,102.0,87.045
R0000148,,431.0,IRIS,AVE,BOULDER,9901.0,"TR, NBR 101-103,105,107,109,170",24.0,1N,71.0,170.0,87.045
R0000149,,2325.0,BALSAM,DR,BOULDER,6049.0,PANORAMA HEIGHTS REPLAT - BO,30.0,1N,70.0,109.0,87.045
R0000152,,2915.0,19TH,ST,BOULDER,5130.0,MEADOWLAWN PARK - BO,30.0,1N,70.0,115.0,87.045
R0000157,,2315.0,KENWOOD,DR,BOULDER,3463.0,HIGHLAND PARK 6 - BO,5.0,1S,70.0,162.0,87.045
R0000159,,320.0,28TH,ST,BOULDER,3428.0,HIGHLAND PARK - BO,5.0,1S,70.0,166.0,87.045
