strap,tax_yr,bldAcutalVal,LandAcutalVal,xfActualVal,totalActualVal,landAssessedVal,bldAssessedVal,xfAssessedVal,totalAssessedVal,status_cd
R0000005,2021,73140,658260,,731400,47066.0,5230.0,,52296,A 
R0000006,2021,354100,724400,,1078500,51795.0,25318.0,,77113,A 
R0000008,2021,222700,668300,,891000,47783.0,15923.0,,63706,A 
R0000009,2021,719800,986400,,1706200,70528.0,51466.0,,121994,A 
R0000013,2021,1054300,783700,,1838000,56035.0,75382.0,,131417,A 
R0000017,2021,459800,416200,,876000,29758.0,32876.0,,62634,A 
R0000019,2021,262700,569600,,832300,40726.0,18783.0,,59509,A 
R0000021,2021,752600,853800,,1606400,61047.0,53811.0,,114858,A 
R0000025,2021,666500,699100,,1365600,49986.0,47655.0,,97641,A 
R0000026,2021,770200,944800,,1715000,67553.0,55069.0,,122622,A 
R0000028,2021,222550,2002950,,2225500,143211.0,15912.0,,159123,A 
R0000029,2021,90600,815400,,906000,58301.0,6478.0,,64779,A 
R0000032,2021,1496100,749100,,2245200,53561.0,106971.0,,160532,A 
R0000035,2021,433200,420500,,853700,30066.0,30974.0,,61040,A 
R0000036,2021,1409000,1070100,,2479100,76512.0,100744.0,,177256,A 
R0000037,2021,176500,618100,,794600,44194.0,12620.0,,56814,A 
R0000038,2021,106300,561700,,668000,40162.0,7600.0,,47762,A 
R0000039,2021,225000,1009500,,1234500,72179.0,16088.0,,88267,A 
R0000040,2021,197600,344300,,541900,24617.0,14128.0,,38745,A 
R0000042,2021,97800,880200,,978000,62934.0,6993.0,,69927,A 
R0000043,2021,310600,389700,,700300,27864.0,22208.0,,50072,A 
R0000044,2021,795200,603200,,1398400,43129.0,56857.0,,99986,A 
R0000045,2021,148700,621900,,770600,44466.0,10632.0,,55098,A 
R0000047,2021,304200,728300,,1032500,52073.0,21750.0,,73823,A 
R0000048,2021,572700,496800,,1069500,35521.0,40948.0,,76469,A 
R0000049,2021,357800,525500,,883300,37573.0,25583.0,,63156,A 
R0000050,2021,707900,1238100,,1946000,88524.0,50615.0,,139139,A 
R0000067,2021,788700,969600,,1758300,69326.0,56392.0,,125718,A 
R0000070,2021,298100,1052100,,1350200,75225.0,21314.0,,96539,A 
R0000072,2021,440200,649800,,1090000,46461.0,31474.0,,77935,A 
R0000073,2021,392700,806600,,1199300,57672.0,28078.0,,85750,A 
R0000075,2021,1133500,1229100,,2362600,87881.0,81045.0,,168926,A 
R0000077,2021,475300,997400,,1472700,71314.0,33984.0,,105298,A 
R0000081,2021,127800,967900,,1095700,69205.0,9138.0,,78343,A 
R0000084,2021,95100,684500,,779600,48942.0,6800.0,,55742,A 
R0000085,2021,467100,688700,,1155800,49242.0,33398.0,,82640,A 
R0000086,2021,501000,679300,,1180300,48570.0,35822.0,,84392,A 
R0000087,2021,359600,662300,,1021900,47354.0,25711.0,,73065,A 
R0000092,2021,674900,990900,,1665800,70849.0,48255.0,,119104,A 
R0000094,2021,157500,549900,,707400,39318.0,11261.0,,50579,A 
R0000095,2021,86200,665600,,751800,47590.0,6163.0,,53753,A 
R0000097,2021,347200,613500,,960700,43865.0,24825.0,,68690,A 
R0000098,2021,113210,1018890,,1132100,72851.0,8095.0,,80946,A 
R0000100,2021,98800,885700,,984500,63328.0,7064.0,,70392,A 
