column_name,available_prior_to_pitch,description
uid,Yes,unique id
game_pk,Yes,unique game id
year,Yes,year
date,Yes,date
team_id_b,Yes,team_id for the batting team
team_id_p,Yes,team_id for the pitching team
inning,Yes,inning number
top,Yes,binary: is top half of inning
at_bat_num,Yes,incrementing at bat count for game
pcount_at_bat,Yes,pitches thrown in at bat
pcount_pitcher,Yes,pitches thrown by pitcher
balls,Yes,current balls
strikes,Yes,current strikes
fouls,Yes,current number of fouls in at bat
outs,Yes,current number of outs
is_final_pitch,No,"binary, is final pitch of at bat."
final_balls,No,number of balls at end of at bat
final_strikes,No,number of strikes at end of at bat
final_outs,No,number of outs at end of at bat
start_tfs,Yes,eastern timestamp
start_tfs_zulu,Yes,eastern timestamp
batter_id,Yes,player id of batter
stand,Yes,which side of plate batter stands on
b_height,Yes,batter height
pitcher_id,Yes,player id of pitcher
p_throws,Yes,hand pticher throws with
at_bat_des,No,description of at bat outcome
event,No,primary event outcome of at bat
event2,No,secondary event outcome of at bat
event3,No,third event outcome of at bat
event4,No,fourth event outcome of at bat
away_team_runs,Yes,away team runs at time of pitch
home_team_runs,Yes,home team runs at time of pitch
score,No,T = runs were score on this at bat
pitch_des,No,"a brief text description of the result of the pitch: Ball; Ball In Dirt; Called Strike; Foul; Foul (Runner Going); Foul Tip; Hit by Pitch; In play, no out; In play, out(s); In play, run(s); Intent Ball; Pitchout; Swinging Strike; Swinging Strike (Blocked)."
pitch_id,Yes,a unique identification number per pitch within a game. The numbers increment by one for each pitch but are not consecutive between at bats.
type,No,"a one-letter abbreviation for the result of the pitch: B, ball; S, strike (including fouls); X, in play."
pitch_tfs,No,pitch timestamp
pitch_tfs_zulu,No,pitch timestamp
x,No,"x,y: the horizontal and vertical location of the pitch as it crossed home plate as input by the Gameday stringer using the old Gameday coordinate system. I’m not sure what units are used or where the origin is located. Note that the y dimension in the old coordinate system is now called the z dimension in the new PITCHf/x coordinate system detailed below."
y,No,
sv_id,No,"a date/time stamp of when the PITCHf/x tracking system first detected the pitch in the air, it is in the format YYMMDD_hhmmss."
start_speed,No,"the pitch speed, in miles per hour and in three dimensions, measured at the initial point, y0. Of the two speeds, this one is closer to the speed measured by a radar gun and what we are familiar with for a pitcher’s “velocity” ."
end_speed,No,the pitch speed measured as it crossed the front of home plate.
sz_top,No,"the distance in feet from the ground to the top of the current batter’s rulebook strike zone as measured from the video by the PITCHf/x operator. The operator sets a line at the batter’s belt as he settles into the hitting position, and the PITCHf/x software adds four inches up for the top of the zone."
sz_bot,No,the distance in feet from the ground to the bottom of the current batter’s rulebook strike zone. The PITCHf/x operator sets a line at the hollow of the knee for the bottom of the zone.
pfx_x,No,"the horizontal movement, in inches, of the pitch between the release point and home plate, as compared to a theoretical pitch thrown at the same speed with no spin-induced movement. This parameter is measured at y=40 feet regardless of the y0 value."
pfx_z,No,"the vertical movement, in inches, of the pitch between the release point and home plate, as compared to a theoretical pitch thrown at the same speed with no spin-induced movement. This parameter is measured at y=40 feet regardless of the y0 value."
