"RESPNUM"	"CCGID"	"TERM"	"STRATA"	"ATYPE"	"AIRLINE"	"DEST"	"GATENUM"	"INTDATE"	"Q1"	"Q2_1"	"Q2_2"	"Q2_3"	"Q2_4"	"Q2_5"	"Q2_6"	"Q3_1"	"Q3_2"	"Q3_3"	"Q3_4"	"Q3_5"	"Q3_6"	"Q3A"	"Q4A"	"Q4B"	"Q4C"	"Q5"	"Q5AVG"	"SAQ"	"Q6A"	"Q6B"	"Q6C"	"Q6D"	"Q6E"	"Q6F"	"Q6G"	"Q6H"	"Q6I"	"Q6J"	"Q6K"	"Q6L"	"Q6M"	"Q6N"	"Q7COM1"	"Q7COM2"	"Q7COM3"	"Q7A1"	"Q7A2"	"Q7A3"	"Q8A"	"Q8B"	"Q8C"	"Q8D"	"Q8E"	"Q8F"	"Q8COM1"	"Q8COM2"	"Q8COM3"	"Q9"	"Q9APOS1"	"Q9APOS2"	"Q9APOS3"	"Q9ANEG1"	"Q9ANEG2"	"Q9ANEG3"	"Q9ANTR1"	"Q9ANTR2"	"Q9ANTR3"	"Q10"	"Q11"	"Q11A1"	"Q11A2"	"Q11A3"	"Q12"	"Q13A"	"Q13B"	"Q13_COM"	"Q13COM1"	"Q13COM2"	"Q13COM3"	"Q14"	"Q14A"	"Q14A1"	"Q14A2"	"Q14A3"	"Q15"	"SFFLAG"	"COUNTRY"	"Q17"	"AGE"	"Q18"	"Q19"	"INC"	"MAIL"	"LANG"	"DESTMARK"	"DESTINATION"	"DESTGEO"	"WEIGHT"	"Location.1"	"Q7_text_All"
"1"	"150"	1	2	1	25	1	21	2	2	3	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	2	2	3	4.5	1	5	3	3	4	4	4	6	6	3	6	6	6	6	4	20	28	57	NA	NA	NA	3	6	6	6	4	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	1	5	NA	5	5	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	30	4	39.5	1	1	"25,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Airport Layout-Terminals too far away/confusing/too difficult/takes too long to get around airport/no way to get between terminals after getting through security/domestic airlines in international terminal  Smoking areas-more needed/inconveniently located  Add traffic delays/other information to flysfo.com to check before leaving"
"2"	"151"	1	2	1	25	1	21	2	2	4	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	1	2	3	4.5	1	6	3	3	4	4	6	6	6	4	6	4	6	6	4	1	78	90	NA	NA	NA	3	6	2	6	2	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	5	1	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	2	21	2	1	"25,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Food too expensive  Positive comment about wifi  Security/Customs lines/procedures long/inefficient/ineffective"
"3"	"152"	1	2	1	25	1	21	2	2	1	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	1	2	3	4.5	1	6	6	3	4	3	5	6	6	6	6	6	6	6	4	50	NA	NA	NA	NA	NA	3	6	6	6	3	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	3	2	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	7	75	2	2	"75,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Signage outside airport confusing/hard to get to airport/difficult to find correct terminal"
"4"	"153"	1	2	1	25	1	21	2	2	5	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	2	2	1	3	6	6	3	4	3	6	6	2	6	6	6	6	3	90	NA	NA	51	NA	NA	3	6	6	6	3	4	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	20	NA	NA	2	NA	NA	NA	NA	5	4	2	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	5	49.5	2	3	"125,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Security/Customs lines/procedures long/inefficient/ineffective  Signage inside airport confusing/small/hard to find gate or airline"
"5"	"154"	1	2	1	25	1	21	2	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	2	2	5	18.5	1	5	5	5	5	4	5	5	5	5	5	5	5	5	5	90	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	3	NA	NA	11	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	62	6	59.5	2	1	"25,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Security/Customs lines/procedures long/inefficient/ineffective"
"6"	"155"	1	2	1	25	1	21	2	2	3	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	2	2	2	3	4.5	1	6	6	6	4	5	5	6	6	6	6	5	6	6	4	NA	NA	NA	NA	NA	NA	5	6	5	6	6	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	6	59.5	2	2	"75,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"7"	"156"	1	2	1	25	1	21	2	2	4	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	1	1	2	2	3	4.5	2	3	2	2	3	3	4	3	3	4	3	4	3	6	4	25	71	NA	NA	NA	NA	3	3	6	6	2	2	NA	NA	NA	4	6	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	3	3	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	2	21	1	1	"25,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" General cleanliness neg comment  Need more artwork/exhibitions/change artwork more frequently"
"8"	"157"	1	2	1	25	1	21	2	2	2	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	2	2	4	9.5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	NA	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	6	59.5	2	1	"25,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"9"	"158"	1	2	1	25	1	21	2	2	3	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	2	1	2	2	2	5	5	5	5	5	4	5	5	5	5	5	6	6	5	NA	NA	NA	NA	NA	NA	5	6	5	6	5	5	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	5	49.5	2	3	"125,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"10"	"159"	1	2	1	25	1	21	2	2	2	10	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	2	2	3	4.5	2	5	4	4	4	4	4	6	6	4	5	6	6	6	4	73	NA	NA	NA	NA	NA	4	4	6	6	4	3	NA	NA	NA	4	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	5	NA	11	NA	NA	2	NA	NA	NA	NA	2	3	62	3	29.5	2	3	"125,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Wifi-not free long enough/difficult to access/doesn’t cover entire airport/overloaded/didn’t know was available"
