"PlayerID","PlayerName","Jersey","SchoolName","Height","Weight","DraftYear","JetPosition","pff_PLAYID","GameKey","pff_TEAM","pff_POSITION","pff_GAMEPOSITION","pff_PFFGRADE","pff_ROLE","pff_ASSIST","pff_BATTEDPASS","pff_BOXPLAYER","pff_CAUSEDFLAG","pff_DEFTECHNIQUE","pff_DROPPEDINTERCEPTION","pff_FIRSTCONTACT","pff_FIRSTCONTACTBLOCKED","pff_FORCEDFUMBLE","pff_FUMBLERECOVERED","pff_HIT","pff_HURRY","pff_INTERCEPTION","pff_MISSEDTACKLE","pff_MISSEDTACKLEONQB","pff_PASSBREAKUP","pff_PENALTY","pff_PFFPENGRADE","pff_PLAYERDEPTH","pff_PRESS","pff_PRESSURE","pff_PRIMARYCOVERAGE","pff_SACK","pff_SECONDARYCOVERAGE","pff_STOP","pff_TACKLE","pff_TOUCHDOWN","pff_CONTESTEDCATCH","pff_INCOMPLETIONREASON","pff_MISSEDTACKLEDETAIL","BlockID","BlockName","BlockLevel","BlockType","CovAsmt","MUID","Matchup","NGSMUID","CoverageOrder","Open","HighestCovProb","NGSMatchup","PFFVAR","EPAR"
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950639,59072,"PHI","ROLB","DLE","0","Run Defense","","","Y","","42","","","","","","","","","","","","","","0","","","","","","","","","","",NA,52934,"Sean McKeon","LOS","BK",NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.09
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950646,59072,"PHI","RE","DLE","0","Pass Rush","","","Y","","29","","","","","","","","","","","","","","0","","","","","","","","","","",NA,54489,"Tyler Smith","LOS","PP",NA,NA,NA,NA,NA,NA,NA,NA,-0.03,-0.1
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950654,59072,"PHI","REO","DLE","0","Pass Rush","","","Y","","32","","","","","","","","","","","","","","0","","","","","","","","","","",NA,54489,"Tyler Smith","LOS","PP",NA,NA,NA,NA,NA,NA,NA,NA,-0.07,-0.44
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950661,59072,"PHI","DLT","DLE","0","Run Defense","","","Y","","16","","","","","","","","","","","","","","0","","","","","","","","","","",NA,41242,"Zack Martin","LOS","PH",NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.06
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950666,59072,"PHI","LEO","DLE","0","Pass Rush","","","Y","","08","","","","","","","","","","","","","","0","","","","","","","","","","",NA,37082,"Tyron Smith","LOS","PP",NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.05
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950674,59072,"PHI","LEO","DLE","0","Pass Rush","","","Y","","07","","","","","","","","","","","","","","0","","","","","","","","","","",NA,37082,"Tyron Smith","LOS","PP",NA,NA,NA,NA,NA,NA,NA,NA,-0.07,-0.12
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950712,59072,"PHI","LOLB","DLE","0.5","Run Defense","","","Y","","01","","Y","Y","","","","","","","","","","","0","","","","","","Y","Y","","","",NA,54594,"Jake Ferguson","LOS","HL",NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.42
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950719,59072,"PHI","LE","DLE","0","Pass Rush","","","Y","","15","","","","","","","","","","","","","","0","","","","","","","","","","",NA,37082,"Tyron Smith","LOS","PP",NA,NA,NA,NA,NA,NA,NA,NA,-0.04,-0.1
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950725,59072,"PHI","LEO","DLE","0","Run Defense","","","Y","","08","","","","","","","","","","","","","","0","","","","","","","","","","",NA,37082,"Tyron Smith","LOS","MN",NA,NA,NA,NA,NA,NA,NA,NA,0,-0.07
35452,"GRAHAM, BRANDON",55,"MICHIGAN",6013,268,2010,"DE",4950730,59072,"PHI","REO","DLE","-0.5","Run Defense","","","Y","","37","","","","","","","","","","","","","","0","","","","","","","","","","",NA,46206,"Dalton Schultz","LOS","CM",NA,NA,NA,NA,NA,NA,NA,NA,-0.18,-0.18
