"pff_PLAYID","GameKey","pff_QUARTER","pff_CLOCK","pff_DEFTEAM","pff_DEFSCORE","pff_OFFTEAM","pff_OFFSCORE","pff_DRIVE","pff_DRIVEPLAY","pff_GAINLOSSNET","pff_GAINLOSS","pff_KICKYARDS","pff_NOHUDDLE","pff_NOPLAY","pff_PENALTYYARDS","pff_PREVIOUSPFFPLAYID","pff_RETURNYARDS","pff_SORTORDER","pff_TIMETOPRESSURE","pff_TIMETOTHROW","pff_YARDSAFTERCATCH","pff_YARDSAFTERCONTACT","pff_2MINUTE","pff_BALLCARRIER","pff_BUNCHED","pff_DRIVEENDEVENT","pff_DRIVESTARTEVENT","pff_DROPBACKTYPE","pff_HASH","pff_INCOMPLETIONTYPE","pff_INJURED","pff_KICKDEPTH","pff_KICKER","pff_KICKRESULT","pff_KICKWIDTH","pff_MOFOCPLAYED","pff_MOFOCSHOWN","pff_PASSRESULT","pff_PASSROUTETARGETGROUP","pff_PASSWIDTH","pff_PASSDEPTH","pff_POAACTUAL","pff_POAINTENDED","pff_RBDIRECTION","pff_RETURNER","pff_RUNPASS","pff_SPECIALTEAMSTYPE","pff_TOUCHDOWN","pff_PLAYCLOCK","pff_RUNPASSOPTION","pff_CONTESTED","pff_FIRSTDOWNGAINED","pff_NEXTPLAYID","pff_OFFTIMEOUTSREMAINING","pff_DEFTIMEOUTSREMAINING","JetPers","AsFormation","QBPos","PFFRunType","PFFPlayType","Neutral","Possession","RedZone","NumDB","Rushers","CovNumber","ManZone","CovHigh","CovBlitz","CovHighBlitz","DefPers","Perspective","WP","WP_Punt","WP_FG","WP_Go","EPPT","EP","Down","YardsToGo","AbsoluteYardLine","PlayDescription"
4950432,59072,1,"15:00","DAL",0,"PHI",0,NA,NA,40,73,73,0,0,NA,NA,NA,1,NA,NA,NA,NA,0,"","","","","","C","","","72","DAL 19","TOUCHBACK","8","","","","","","","","","","PHI 35","","KICKOFF","",NA,0,"",NA,4950440,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.633,0.635,0.58,0.675,"Kickoff",1.02787229920246,0,0,65,"B.Maher kicks 65 yards from DAL 35 to end zone, Touchback."
4950440,59072,1,"15:00","DAL",0,"PHI",0,1,1,7,7,NA,0,0,NA,4950432,NA,2,NA,NA,NA,2,0,"PHI 26","","FIELD GOAL","KICKOFF - TB","","R","","","","","","","C","C","","","","","RE","RE","L","","R","","",7,0,"",NA,4950448,3,3,"11","11","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ",1,0,0,5,NA,"3","Zone",1,"Zone","1 Zone","3 3 5","DAL",0.633,0.669,0.728,0.689,"R",0.977105090910883,1,10,75,"(15:00) (Shotgun) M.Sanders right tackle to PHI 32 for 7 yards (D.Wilson)."
4950448,59072,1,"14:24","DAL",0,"PHI",0,1,2,9,9,NA,0,0,NA,4950440,NA,3,NA,1.9,1,1,0,"PHI 11","","FIELD GOAL","KICKOFF - TB","SD","R","","","","","","","C","C","COMPLETE","2R","20","8","","","","","P","","",11,1,"1; DAL 07",1,4950455,3,3,"11","11","Shotgun","INSIDE ZONE","INSIDE ZONE RPO",1,0,0,5,"4 Sim","1","Man",1,"Man Simulated","Man Simulated","3 3 5","DAL",0.62,0.662,0.72,0.663,"P",1.49379055022634,2,3,68,"(14:24) (Shotgun) G.Minshew pass short left to A.Brown to PHI 41 for 9 yards (T.Diggs)."
4950455,59072,1,"13:56","DAL",0,"PHI",0,1,3,48,48,NA,1,0,NA,4950448,NA,4,NA,2.3,21,0,0,"PHI 11","","FIELD GOAL","KICKOFF - TB","SD","C","","","","","","","C","C","COMPLETE","29R","48","27","","","","","P","","",20,1,"",1,4950459,3,3,"11","11","Shotgun","INSIDE ZONE","INSIDE ZONE RPO",1,0,0,5,"4 Sim","1","Man",1,"Man Simulated","Man Simulated","3 3 5","DAL",0.614,0.654,0.71,0.669,"P",2.16331911710702,1,10,59,"(13:58) (No Huddle, Shotgun) G.Minshew pass deep right to A.Brown to DAL 11 for 48 yards (J.Kearse)."
4950459,59072,1,"13:18","DAL",0,"PHI",0,1,4,1,1,NA,0,0,NA,4950455,NA,5,NA,NA,NA,1,0,"PHI 26","PHI 03; PHI 06; PHI 88","FIELD GOAL","KICKOFF - TB","","R","","","","","","","C","C","","","","","MR","MR","R","","R","","",12,1,"",NA,4950465,3,3,"11","10","Shotgun","OUTSIDE ZONE READ","OUTSIDE ZONE READ RPO",0,0,1,5,NA,"1","Man",1,"Man","Man","3 3 5","DAL",0.556,1,0.59,0.609,"R",5.2026862648851,1,10,11,"(13:18) (Shotgun) M.Sanders right tackle to DAL 10 for 1 yard (O.Odighizuwa; C.Watkins)."
4950465,59072,1,"12:38","DAL",0,"PHI",0,1,5,0,0,NA,0,0,NA,4950459,NA,6,NA,NA,NA,1,0,"PHI 26","","FIELD GOAL","KICKOFF - TB","","R","","","","","","","O","O","","","","","LG","LG","L","","R","","",6,1,"",NA,4950472,3,3,"11","11","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ RPO",0,0,1,5,NA,"0","Man",0,"Zero","Zero","3 3 5","DAL",0.569,1,0.588,0.604,"R",4.82121442519957,2,9,10,"(12:38) (Shotgun) M.Sanders left guard to DAL 10 for no gain (D.Wilson, A.Barr)."
4950472,59072,1,"11:56","DAL",0,"PHI",0,1,6,3,3,NA,0,0,NA,4950465,NA,7,2,4.3,NA,1,0,"PHI 10","PHI 06; PHI 16; PHI 88","FIELD GOAL","KICKOFF - TB","SR","L","","","","","","","O","O","RUN","","","0","QB SCRAMBLE","QB SCRAMBLE","","","P","","",4,0,"",NA,4950476,3,3,"11","10","Shotgun","","STANDARD DROP",0,0,1,5,"4 Sim","1","Man",1,"Man Simulated","Man Simulated","3 3 5","DAL",0.589,1,0.587,0.602,"P",4.01889602846158,3,9,10,"(11:56) (Shotgun) G.Minshew scrambles right end pushed ob at DAL 7 for 3 yards (M.Parsons; N.Wright)."
4950476,59072,1,"11:18","DAL",0,"PHI",0,NA,NA,0,25,25,0,0,NA,4950472,NA,8,NA,NA,NA,NA,0,"","","","","","R","","","","PHI 04","MADE - M","","","","","","","","","","","","","FIELD GOAL","",5,0,"",NA,4950506,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.585,1,0.585,0.588,"Field Goal",2.76978444571502,4,6,7,"(11:18) J.Elliott 25 yard field goal is GOOD, Center-R.Lovato, Holder-B.Kern."
4950506,59072,1,"11:16","PHI",3,"DAL",0,NA,NA,40,75,75,0,0,NA,4950476,NA,9,NA,NA,NA,NA,0,"","","","","","C","","","74","PHI 04","TOUCHBACK","33","","","","","","","","","","DAL 09","","KICKOFF","",NA,0,"",NA,4950563,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.584,0.581,0.653,0.529,"Kickoff",1.02787229920246,0,0,65,"J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback."
4950563,59072,1,"11:16","PHI",3,"DAL",0,1,1,1,1,NA,0,0,NA,4950506,NA,10,NA,NA,NA,2,0,"DAL 21","DAL 85; DAL 88","INTERCEPTION-TD","KICKOFF - TB","","L","","","","","","","C","O","","","","","MR","MR","L","","R","","",13,1,"",NA,4950568,3,3,"11","11","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ RPO",1,0,0,5,NA,"3","Zone",1,"Zone","1 Zone","5 1 5","DAL",0.584,0.532,0.474,0.521,"R",0.977105090910883,1,10,75,"(11:16) (Shotgun) E.Elliott up the middle to DAL 26 for 1 yard (R.Blankenship; L.Joseph)."
