date,year,rep,store,paper,paper.type,unit.price,units.sold,total.sale
1/3/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
1/3/2012,2012,Qiaoli,Portland,drawing,roll,20.99,1,20.99
1/3/2012,2012,Barakat,Portland,drawing,pads,10.26,1,10.26
1/4/2012,2012,Thomas,Davenport,watercolor,pad,12.15,2,24.3
1/4/2012,2012,Arinjay,Portland,drawing,pads,10.26,1,10.26
1/4/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
1/4/2012,2012,Aman,Portland,drawing,sheet,0.36,16,5.76
1/4/2012,2012,Mohit,Davenport,drawing,pads,10.26,2,20.52
1/4/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
1/4/2012,2012,Yunzhu,Syracuse,watercolor,pad,12.15,1,12.15
1/4/2012,2012,Mohit,Davenport,watercolor,pad,12.15,4,48.6
1/4/2012,2012,Arijit,Syracuse,drawing,journal,24.94,1,24.94
1/4/2012,2012,Arinjay,Portland,watercolor,block,19.34,1,19.34
1/5/2012,2012,Thomas,Davenport,drawing,journal,24.94,1,24.94
1/5/2012,2012,Patrick,Syracuse,drawing,pads,10.26,2,20.52
1/5/2012,2012,Patrick,Syracuse,watercolor,pad,12.15,1,12.15
1/6/2012,2012,Yunzhu,Syracuse,drawing,journal,24.94,1,24.94
1/6/2012,2012,Arijit,Syracuse,watercolor,pad,12.15,1,12.15
1/7/2012,2012,Arijit,Syracuse,drawing,journal,24.94,1,24.94
1/7/2012,2012,Yue,Dublin,watercolor,pad,12.15,1,12.15
1/7/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
1/7/2012,2012,Qiaoli,Portland,watercolor,block,19.34,1,19.34
1/7/2012,2012,Mohit,Davenport,drawing,journal,24.94,1,24.94
1/7/2012,2012,Aman,Portland,watercolor,block,19.34,1,19.34
1/7/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
