Lon,Lat,OBJECTID,Ownership,Pole_Num_1,Service,Bulb_Type,Wattage,Lumens,Mast_Arm,Photo_Cont,Luminaire_,Hand_Hold,Extra_Info,Inspection,Inspect_Date,Inspect_Time,Pole_Manuf,Pole_Model,Light_Manu,Light_Mode,POINT_X,POINT_Y,Fixture,Fixture_Model,Bracket,Banner_Arms,Address,Banner_Size,Pole_Number,Pole_Prefix,Pole_Suffix,Pole_Type,Pole_Suff_Seq,Owner_Asset,Light_Presence,created_user,created_date,last_edited_user,last_edited_date
-86.2851574796992,41.6775243619798,3028,AEP,J257-1597,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,Yes,Yes,No,,AD BS,2004-07-23T00:00:00.000Z,10:44:29am,,,, ,159125.994276,2342468.43028,,,,,,,J257-1597,,,Wood,4027,-3,,,,,
-86.287690762825,41.6729470571663,3029,AEP,J257-0164,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:08:08am,,,, ,158421.930367,2340805.51776,,,,,,,J257-0164,,,Wood,4028,-3,Existing,,,RBOYLES,2016-06-21T14:03:29.000Z
-86.2889697000858,41.677126621845,3030,AEP,J257-1643,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:02:30am,,,, ,158083.523756,2342330.99907,,,,,,,J257-1643,,,Wood,4029,-3,,,,,
-86.2877135674842,41.6735474364055,3031,AEP,J257-0165,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:09:10am,,,, ,158417.276727,2341024.33036,,,,,,,J257-0165,,,Wood,4030,-3,Existing,,,RBOYLES,2016-06-21T14:03:14.000Z
-86.287716118008,41.6740469994392,3032,AEP,J257-0166,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:09:47am,,,, ,158417.891922,2341206.36744,,,,,,,J257-0166,,,Wood,4031,-3,Existing,,,RBOYLES,2016-06-21T14:02:53.000Z
-86.287754868388,41.6749513332463,3033,AEP,J257-0168,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:11:04am,,,, ,158409.6807,2341535.96705,,,,,,,J257-0168,,,Wood,4032,-3,,,,,
-86.2856746641089,41.6789493839542,3034,AEP,J257-1688,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,02:20:15pm,,,, ,158988.440048,2342988.69809,,,,,,,J257-1688,,,Wood,4033,-3,,,,,
-86.2864174082662,41.6789628044093,3035,AEP,J257-1702,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:38:11am,,,, ,158785.576638,2342995.0468,,,,,,,J257-1702,,,Wood,4034,-3,,,,,
-86.2850432329538,41.678159406025,3036,AEP,J257-1715,Overhead,Yellow - H.P. Sodium,40 - 400 Watts,"D - 50,000 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,02:10:13pm,,,, ,159158.864883,2342699.60515,,,,,,,J257-1715,,,Wood,4035,-3,,,,,
-86.2857882628998,41.6779803473907,3037,AEP,J257-1716,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:42:18am,,,, ,158954.870405,2342635.82094,,,,,,,J257-1716,,,Wood,4036,-3,,,,,
