Status,State_Parcel_ID,County_ID,Address,Dir,Street,Type,Full_Address,Zip,Structures,Code_Enforcement_Order,Recent_Hearing_Date,Date_of_Last_Compliance,Last_Compliance_Type,Last_Compliance_Completed_By,X,Y,ESRI_OID
CLOSED,71-09-18-301-021.000-026-,018-7083-3024-,1121,,Oak Park,CT,1121 Oak Park CT,46613,HOUSE,In Compliance: Outcome Complete,2018/12/13 00:00:00+00,2020/05/27 00:00:00+00,Demolished,City,,,1
CLOSED,71-08-09-282-013.000-026,018-4060-2200,214,S,Kentucky,ST,214 S Kentucky ST,46619,"House, Shed",In Compliance: Outcome Complete,2017/06/06 00:00:00+00,2018/03/19 00:00:00+00,Demolished,City,-86.293257662,41.6736256460001,2
CLOSED,71-08-13-384-015.000-026,018-7036-1414,309,E,Bowman,ST,309 E Bowman ST,46613,House,In Compliance: Outcome Complete,2014/09/25 00:00:00+00,2015/03/13 00:00:00+00,Demolished,City,-86.245684307,41.653741557,3
CLOSED,71-08-13-385-004.000-026,018-7036-1428,314,E,Bowman,ST,314 E Bowman ST,46613,House,In Compliance: Outcome Complete,2014/09/11 00:00:00+00,2015/03/27 00:00:00+00,Demolished,City,-86.245443354,41.653229244,4
CLOSED,71-08-13-384-019.000-026,018-7036-1418,403,E,Bowman,ST,403 E Bowman ST,46613,,In Compliance: Outcome Complete,2011/09/27 00:00:00+00,2014/08/25 00:00:00+00,Repaired,Private,-86.245128955,41.6537533430001,5
CLOSED,71-08-13-480-011.000-026,018-7056-2098,1015,E,Bowman,ST,1015 E Bowman ST,46613,House,In Compliance: Outcome Complete,2015/05/05 00:00:00+00,2016/02/06 00:00:00+00,Demolished,City,-86.2359324399999,41.6539749770001,6
CLOSED,71-09-18-451-013.000-026,018-7106-3807,1539,E,Bowman,ST,1539 E Bowman ST,46613,,In Compliance: Outcome Complete,2014/05/01 00:00:00+00,2015/01/23 00:00:00+00,Repaired,Private,-86.224405975,41.6542063210001,7
CLOSED,71-08-13-176-017.000-026,018-7025-0993,221,E,Broadway,ST,221 E Broadway ST,46601,,In Compliance: Outcome Complete,,2015/06/22 00:00:00+00,Repaired,Private,-86.2470167879999,41.660412659,8
CLOSED,71-09-18-155-012.000-026,018-7080-2924,1134,E,Broadway,ST,1134 E Broadway ST,46601,,In Compliance: Outcome Complete,2014/02/25 00:00:00+00,2014/09/05 00:00:00+00,Demolished,City,-86.233595475,41.660061683,9
CLOSED,71-09-18-154-014.000-026,018-7080-2915,1135,E,Broadway,ST,1135 E Broadway ST,46601,"House, Fence",In Compliance: Outcome Complete,2015/10/10 00:00:00+00,2015/10/22 00:00:00+00,Repaired,Private,-86.233462388,41.660418544,10
CLOSED,71-08-12-331-017.000-026,018-3021-0778,215,E,Bronson,ST,215 E Bronson ST,46601,House,In Compliance: Outcome Complete,2015/07/28 00:00:00+00,2015/07/28 00:00:00+00,Repaired,Private,-86.247743511,41.668548237,11
CLOSED,71-08-10-427-007.000-026,018-4013-0435,416,S,Brookfield,ST,416 S Brookfield ST,46619,"House, Garage",In Compliance: Outcome Complete,2016/09/22 00:00:00+00,2018/04/02 00:00:00+00,Repaired,Private,-86.277477776,41.671559888,12
CLOSED,71-08-10-426-024.000-026,018-4013-0446,437,S,Brookfield,ST,437 S Brookfield ST,46619,Duplex,In Compliance: Outcome Complete,2013/12/05 00:00:00+00,2014/10/10 00:00:00+00,Demolished,City,-86.278086448,41.670857874,13
CLOSED,71-08-10-426-025.000-026,018-4013-0448,441,S,Brookfield,ST,441 S Brookfield ST,46619,Duplex,In Compliance: Outcome Complete,2013/12/10 00:00:00+00,2016/04/28 00:00:00+00,Demolished,City,-86.278085039,41.670738838,14
CLOSED,71-08-10-431-017.000-026,018-4016-0544,509,S,Brookfield,ST,509 S Brookfield ST,46619,,In Compliance: Outcome Complete,2012/05/15 00:00:00+00,2014/07/11 00:00:00+00,Demolished,City,-86.2780670509999,41.669909955,15
CLOSED,71-08-02-157-013.000-026,018-1089-3755,917,,Lawndale,AVE,917 Lawndale AVE,46628,,In Compliance: Outcome Complete,2010/02/23 00:00:00+00,2014/08/18 00:00:00+00,Repaired,Private,-86.2715025379999,41.687390378,16
CLOSED,71-08-02-157-012.000-026,018-1089-3754,921,,Lawndale,AVE,921 Lawndale AVE,46628,,In Compliance: Outcome Complete,2011/09/13 00:00:00+00,2014/08/30 00:00:00+00,Demolished,City,-86.271442349,41.6875002250001,17
CLOSED,71-08-10-127-005.000-026,018-2038-1314,2513,W,Lawton,ST,2513 W Lawton ST,46628,"House, Fence, Fire Pit",In Compliance: Outcome Complete,2015/03/31 00:00:00+00,2016/08/21 00:00:00+00,Repaired,Private,-86.2855508649999,41.6791155130001,18
CLOSED,71-08-10-127-004.000-026,018-2038-1317,2517,,Lawton,ST,2517 Lawton ST,46628,,In Compliance: Outcome Complete,2010/04/06 00:00:00+00,2013/12/26 00:00:00+00,Repaired,Private,-86.2857464419999,41.679114005,19
CLOSED,71-09-18-158-026.000-026-,018-7082-3002-,1503,,Leer,ST,1503 Leer ST,46613,House,Moved To RSVP,2019/04/30 00:00:00+00,,,,,,20
CLOSED,71-09-18-180-002.000-026,018-7091-3274,1508,,Leer,ST,1508 Leer ST,46613,House,In Compliance: Outcome Complete,2015/05/07 00:00:00+00,2016/02/27 00:00:00+00,Demolished,City,-86.230001068,41.6587805570001,21
CLOSED,71-09-18-307-016.000-026,018-7084-3058,1605,,Leer,ST,1605 Leer ST,46613,House,In Compliance: Outcome Complete,2014/04/29 00:00:00+00,2016/04/28 00:00:00+00,Demolished,City,-86.230631721,41.658357407,22
CLOSED,71-09-18-326-006.000-026,018-7091-3296,1628,,Leer,ST,1628 Leer ST,46613,House,In Compliance: Outcome Complete,2014/05/08 00:00:00+00,2015/10/02 00:00:00+00,Demolished,City,-86.229988157,41.6577841770001,23
